id,semantic_compare
22,[]
11,[]
13521,[]
14531,[]
26,[]
9791,[]
9635,[]
15421,['equivalent']
9634,['equivalent']
9603,[]
9218,[]
8,[]
5,[]
12440,[]
12439,[]
10931,[]
13497,['equivalent']
13203,[]
13576,[]
14008,[]
14253,[]
13163,"['equivalent', 'equivalent', 'equivalent', 'equivalent']"
13162,"['equivalent', 'equivalent', 'equivalent', 'equivalent']"
35,['ERROR']
15419,[]
49,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']"
390,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
422,"['ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1']"
655,"['s2_refines_s1', 's1_refines_s2', 'equivalent']"
3731,"['incomparable', 'equivalent', 'unknown']"
39694,['equivalent']
39679,['equivalent']
29129,"['equivalent', 'equivalent']"
4586,['equivalent']
6607,['equivalent']
4497,['equivalent']
4336,['equivalent']
54403,['equivalent']
54597,"['s1_refines_s2', 'equivalent']"
27796,"['s1_refines_s2', 'equivalent']"
54364,[]
21348,"['ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 's2_refines_s1', 'ERROR', 'ERROR']"
46525,"['s1_refines_s2', 'equivalent']"
4634,"['s1_refines_s2', 'equivalent']"
54625,"['s1_refines_s2', 'equivalent']"
4635,"['s1_refines_s2', 'equivalent']"
4637,"['s1_refines_s2', 'equivalent']"
20847,"['s1_refines_s2', 'equivalent']"
6603,"['s1_refines_s2', 'equivalent']"
23061,"['s1_refines_s2', 'equivalent']"
4498,"['s1_refines_s2', 'equivalent']"
4360,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
54596,"['s1_refines_s2', 'incomparable', 'equivalent', 'equivalent']"
6608,"['s1_refines_s2', 'incomparable', 'equivalent']"
48391,"['s1_refines_s2', 'incomparable', 'equivalent', 'equivalent']"
4499,"['s1_refines_s2', 'incomparable', 'equivalent']"
4661,"['s1_refines_s2', 'incomparable', 'equivalent', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'equivalent', 'incomparable', 'equivalent']"
4662,"['s1_refines_s2', 'incomparable', 'equivalent']"
4666,"['s1_refines_s2', 'incomparable', 'equivalent']"
6609,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent']"
29121,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent']"
12441,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent']"
48464,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent']"
48466,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'equivalent']"
12443,[]
11058,"['ERROR', 'ERROR', 'ERROR']"
11059,"['ERROR', 'ERROR']"
54637,[]
56730,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'unknown', 'incomparable', 'equivalent', 'equivalent']"
17451,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'unknown', 'incomparable', 'equivalent', 'equivalent']"
6275,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'unknown', 'incomparable', 'equivalent', 'equivalent']"
4223,"['s1_refines_s2', 'incomparable', 's1_refines_s2', 'equivalent', 'equivalent', 'unknown', 'incomparable', 'equivalent', 'incomparable']"
4801,['equivalent']
