id,semantic_compare,consecutive_equivalent_count,consecutive_incomparable_count,consecutive_s1_refines_s2_count,consecutive_s2_refines_s1_count
22,[],0,0,0,0
11,[],0,0,0,0
13521,[],0,0,0,0
14531,[],0,0,0,0
26,[],0,0,0,0
9791,[],0,0,0,0
9635,[],0,0,0,0
15421,['equivalent'],0,0,0,0
9634,['equivalent'],0,0,0,0
9603,[],0,0,0,0
9218,[],0,0,0,0
8,[],0,0,0,0
5,[],0,0,0,0
12440,[],0,0,0,0
12439,[],0,0,0,0
10931,[],0,0,0,0
13497,['equivalent'],0,0,0,0
13203,[],0,0,0,0
13576,[],0,0,0,0
14008,[],0,0,0,0
14253,[],0,0,0,0
13163,"['equivalent', 'equivalent', 'equivalent', 'equivalent']",3,0,0,0
13162,"['equivalent', 'equivalent', 'equivalent', 'equivalent']",3,0,0,0
35,['ERROR'],0,0,0,0
15419,[],0,0,0,0
49,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'equivalent']",0,0,0,0
390,"['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']",0,0,0,0
422,"['ERROR', 'ERROR', 's1_refines_s2', 's2_refines_s1', 's2_refines_s1']",0,0,0,1
655,"['s2_refines_s1', 's1_refines_s2', 'equivalent']",0,0,0,0
3731,"['incomparable', 'equivalent', 'unknown']",0,0,0,0
39694,['equivalent'],0,0,0,0
39679,['equivalent'],0,0,0,0
29129,"['equivalent', 'equivalent']",1,0,0,0
4586,['equivalent'],0,0,0,0
6607,['equivalent'],0,0,0,0
4497,['equivalent'],0,0,0,0
4336,['equivalent'],0,0,0,0
54403,['equivalent'],0,0,0,0
54597,"['s1_refines_s2', 'equivalent']",0,0,0,0
27796,"['s1_refines_s2', 'equivalent']",0,0,0,0
54364,[],0,0,0,0
21348,"['ERROR', 'ERROR', 'equivalent', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'equivalent', 's2_refines_s1', 'ERROR', 'ERROR']",1,0,0,0
46525,"['s1_refines_s2', 'equivalent']",0,0,0,0
4634,"['s1_refines_s2', 'equivalent']",0,0,0,0
54625,"['s1_refines_s2', 'equivalent']",0,0,0,0
4635,"['s1_refines_s2', 'equivalent']",0,0,0,0
4637,"['s1_refines_s2', 'equivalent']",0,0,0,0
20847,"['s1_refines_s2', 'equivalent']",0,0,0,0
6603,"['s1_refines_s2', 'equivalent']",0,0,0,0
23061,"['s1_refines_s2', 'equivalent']",0,0,0,0
4498,"['s1_refines_s2', 'equivalent']",0,0,0,0
4360,"['ERROR', 'ERROR', 'ERROR', 'equivalent', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']",0,0,0,0
54596,"['s1_refines_s2', 'incomparable', 'equivalent', 'equivalent']",1,0,0,0
6608,"['s1_refines_s2', 'incomparable', 'equivalent']",0,0,0,0
48391,"['s1_refines_s2', 'incomparable', 'equivalent', 'equivalent']",1,0,0,0
4499,"['s1_refines_s2', 'incomparable', 'equivalent']",0,0,0,0
4661,"['s1_refines_s2', 'incomparable', 'equivalent', 'ERROR', 'ERROR', 'incomparable', 'incomparable', 'equivalent', 'incomparable', 'equivalent']",0,1,0,0
