id,chain_len,distances
13163,5,"[0, 0, 0, 0]"
13162,5,"[0, 0, 0, 0]"
49,7,"[45, 4, 16, 6, 3, 0]"
390,6,"[109, 4, 3, 26, 2]"
422,6,"[0, 30, 279, 33, 36]"
655,4,"[277, 33, 12]"
3731,5,"[355, 532, 14, 399]"
39694,3,"[180, 0]"
39679,3,"[180, 0]"
29129,4,"[180, 0, 0]"
4586,3,"[180, 0]"
6607,3,"[180, 0]"
4497,3,"[180, 0]"
4336,3,"[180, 0]"
54403,3,"[180, 0]"
54597,4,"[180, 123, 0]"
27796,4,"[180, 123, 0]"
21348,12,"[185, 2, 2, 2, 4, 2, 6, 2, 122, 3, 166]"
46525,4,"[180, 123, 0]"
4634,4,"[180, 123, 0]"
54625,4,"[180, 123, 0]"
4635,4,"[180, 123, 0]"
4637,4,"[180, 123, 0]"
20847,4,"[180, 123, 0]"
6603,4,"[180, 123, 0]"
23061,4,"[180, 123, 0]"
4498,4,"[180, 123, 0]"
4360,12,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 3, 133]"
54596,6,"[180, 123, 104, 0, 0]"
6608,5,"[180, 123, 104, 0]"
48391,6,"[180, 123, 104, 0, 0]"
4499,5,"[180, 123, 104, 0]"
4661,12,"[180, 123, 104, 0, 3, 2, 5, 5, 0, 5, 0]"
4662,5,"[180, 123, 104, 0]"
4666,5,"[180, 123, 104, 0]"
6609,8,"[180, 123, 104, 152, 11, 12, 0]"
29121,8,"[180, 123, 104, 152, 11, 12, 0]"
12441,8,"[180, 123, 104, 152, 11, 12, 0]"
48464,8,"[180, 123, 104, 152, 11, 12, 0]"
48466,8,"[180, 123, 104, 152, 11, 12, 0]"
11058,4,"[759, 0, 646]"
11059,3,"[773, 660]"
56730,11,"[180, 123, 104, 152, 11, 12, 124, 6, 0, 0]"
17451,11,"[180, 123, 104, 152, 11, 12, 124, 6, 0, 0]"
6275,11,"[180, 123, 104, 152, 11, 12, 124, 6, 0, 0]"
4223,11,"[180, 123, 104, 152, 11, 12, 124, 6, 0, 8]"
4801,3,"[782, 0]"
4311,11,"[782, 64, 1, 3, 14, 11, 39, 78, 2, 48]"
4511,4,"[830, 3438, 0]"
23080,16,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0]"
4399,18,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0, 2, 2]"
23033,16,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0]"
6610,16,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0]"
6620,16,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0]"
45545,16,"[350, 1, 1, 25, 2, 22, 21, 2, 16, 2, 3, 3, 3, 0, 0]"
4632,11,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0]"
6604,11,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0]"
6606,11,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0]"
46524,14,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0, 3, 3, 3]"
23060,12,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0, 3]"
4633,12,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0, 3]"
23248,12,"[55, 1, 2, 12, 40, 3, 50, 16, 43, 0, 3]"
4366,6,"[72, 157, 26, 2, 1]"
54297,10,"[72, 157, 26, 2, 0, 4, 181, 35, 0]"
46667,10,"[72, 157, 26, 2, 0, 4, 181, 35, 0]"
4513,3,"[4016, 3652]"
9088,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
9062,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
47490,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
9090,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
23082,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
48829,13,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0, 0]"
4724,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
4722,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
54224,12,"[83, 34, 55, 185, 24, 39, 2, 0, 0, 40, 0]"
4434,10,"[782, 49, 6, 12, 54, 54, 0, 6, 6]"
4472,6,"[297, 24, 93, 167, 85]"
4492,18,"[782, 10, 91, 2, 10, 35, 47, 11, 6, 50, 1, 14, 1, 31, 1, 54, 2]"
4533,4,"[782, 0, 90]"
5467,3,"[547, 0]"
6625,3,"[547, 0]"
5494,3,"[547, 0]"
6139,4,"[547, 0, 0]"
10973,6,"[547, 1095, 0, 1, 1]"
5468,4,"[547, 1095, 0]"
6627,4,"[547, 1095, 0]"
54332,4,"[547, 1095, 0]"
6141,4,"[547, 1095, 0]"
11181,4,"[547, 1095, 0]"
47491,4,"[547, 1095, 0]"
17433,4,"[547, 1095, 0]"
9323,4,"[547, 1095, 0]"
17897,4,"[547, 1095, 0]"
47760,4,"[547, 1095, 0]"
47957,5,"[547, 1095, 0, 0]"
