id,chain_length,derivation_chain
22,1,['22']
11,1,['11']
13521,1,['13521']
14531,1,['14531']
26,1,['26']
9791,1,['9791']
9635,1,['9635']
15421,2,"['15420', '15421']"
9634,2,"['9633', '9634']"
9603,1,['9603']
9218,1,['9218']
8,1,['8']
5,2,"['nan', '5']"
12440,1,['12440']
12439,1,['12439']
10931,1,['10931']
13497,2,"['13496', '13497']"
13203,1,['13203']
13576,1,['13576']
14008,1,['14008']
14253,1,['14253']
13163,5,"['13154', '13155', '13158', '13159', '13163']"
13162,5,"['13154', '13155', '13158', '13159', '13162']"
35,2,"['34', '35']"
15419,1,['15419']
49,7,"['43', '44', '45', '46', '47', '48', '49']"
390,6,"['nan', '386', '387', '388', '389', '390']"
422,6,"['417', '418', '419', '420', '421', '422']"
655,4,"['652', '653', '654', '655']"
3731,5,"['nan', '3722', '3729', '3730', '3731']"
39694,3,"['nan', '4210', '39694']"
39679,3,"['nan', '4210', '39679']"
29129,4,"['nan', '4210', '29128', '29129']"
4586,3,"['nan', '4210', '4586']"
6607,3,"['nan', '4210', '6607']"
4497,3,"['nan', '4210', '4497']"
4336,3,"['nan', '4210', '4336']"
54403,3,"['nan', '4210', '54403']"
54597,4,"['nan', '4210', '4211', '54597']"
27796,4,"['nan', '4210', '4211', '27796']"
54364,2,"['nan', '54364']"
21348,12,"['nan', '21338', '21339', '21340', '21341', '21342', '21343', '21344', '21345', '21346', '21347', '21348']"
46525,4,"['nan', '4210', '4211', '46525']"
4634,4,"['nan', '4210', '4211', '4634']"
54625,4,"['nan', '4210', '4211', '54625']"
4635,4,"['nan', '4210', '4211', '4635']"
4637,4,"['nan', '4210', '4211', '4637']"
20847,4,"['nan', '4210', '4211', '20847']"
6603,4,"['nan', '4210', '4211', '6603']"
23061,4,"['nan', '4210', '4211', '23061']"
4498,4,"['nan', '4210', '4211', '4498']"
4360,12,"['nan', '4350', '4351', '4352', '4353', '4354', '4355', '4356', '4357', '4358', '4359', '4360']"
54596,6,"['nan', '4210', '4211', '4212', '54592', '54596']"
6608,5,"['nan', '4210', '4211', '4212', '6608']"
48391,6,"['nan', '4210', '4211', '4212', '48390', '48391']"
4499,5,"['nan', '4210', '4211', '4212', '4499']"
4661,12,"['nan', '4210', '4211', '4212', '4652', '4653', '4655', '4656', '4657', '4658', '4660', '4661']"
4662,5,"['nan', '4210', '4211', '4212', '4662']"
4666,5,"['nan', '4210', '4211', '4212', '4666']"
6609,8,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '6609']"
29121,8,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '29121']"
12441,8,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '12441']"
48464,8,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '48464']"
48466,8,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '48466']"
12443,1,['12443']
11058,4,"['nan', '11055', '11056', '11058']"
11059,3,"['nan', '11057', '11059']"
54637,2,"['nan', '54637']"
56730,11,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '4217', '4218', '4220', '56730']"
17451,11,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '4217', '4218', '4220', '17451']"
6275,11,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '4217', '4218', '4220', '6275']"
4223,11,"['nan', '4210', '4211', '4212', '4214', '4215', '4216', '4217', '4218', '4220', '4223']"
4801,3,"['nan', '4426', '4801']"
4311,11,"['nan', '4302', '4303', '4304', '4305', '4306', '4307', '4308', '4309', '4310', '4311']"
4313,1,['4313']
4319,2,"['nan', '4319']"
4318,2,"['nan', '4318']"
4317,2,"['nan', '4317']"
4316,1,['4316']
4511,4,"['nan', '4509', '4510', '4511']"
23080,16,"['nan', '4337', '4338', '4339', '4340', '4341', '4342', '4343', '4344', '4345', '4346', '4347', '4348', '4349', '4361', '23080']"
