id,chain_length,derivation_chain
22,1,22
11,1,11
13521,1,13521
14531,1,14531
26,1,26
9791,1,9791
9635,1,9635
15421,2,15421 -> 15420
9634,2,9634 -> 9633
9603,1,9603
9218,1,9218
8,1,8
5,2,5 -> nan
12440,1,12440
12439,1,12439
10931,1,10931
13497,2,13497 -> 13496
13203,1,13203
13576,1,13576
14008,1,14008
14253,1,14253
13163,5,13163 -> 13159 -> 13158 -> 13155 -> 13154
13162,5,13162 -> 13159 -> 13158 -> 13155 -> 13154
35,2,35 -> 34
15419,1,15419
49,7,49 -> 48 -> 47 -> 46 -> 45 -> 44 -> 43
390,6,390 -> 389 -> 388 -> 387 -> 386 -> nan
422,6,422 -> 421 -> 420 -> 419 -> 418 -> 417
655,4,655 -> 654 -> 653 -> 652
3731,5,3731 -> 3730 -> 3729 -> 3722 -> nan
39694,3,39694 -> 4210 -> nan
39679,3,39679 -> 4210 -> nan
29129,4,29129 -> 29128 -> 4210 -> nan
4586,3,4586 -> 4210 -> nan
6607,3,6607 -> 4210 -> nan
4497,3,4497 -> 4210 -> nan
4336,3,4336 -> 4210 -> nan
54403,3,54403 -> 4210 -> nan
54597,4,54597 -> 4211 -> 4210 -> nan
27796,4,27796 -> 4211 -> 4210 -> nan
54364,2,54364 -> nan
21348,12,21348 -> 21347 -> 21346 -> 21345 -> 21344 -> 21343 -> 21342 -> 21341 -> 21340 -> 21339 -> 21338 -> nan
46525,4,46525 -> 4211 -> 4210 -> nan
4634,4,4634 -> 4211 -> 4210 -> nan
54625,4,54625 -> 4211 -> 4210 -> nan
4635,4,4635 -> 4211 -> 4210 -> nan
4637,4,4637 -> 4211 -> 4210 -> nan
20847,4,20847 -> 4211 -> 4210 -> nan
6603,4,6603 -> 4211 -> 4210 -> nan
23061,4,23061 -> 4211 -> 4210 -> nan
4498,4,4498 -> 4211 -> 4210 -> nan
4360,12,4360 -> 4359 -> 4358 -> 4357 -> 4356 -> 4355 -> 4354 -> 4353 -> 4352 -> 4351 -> 4350 -> nan
54596,6,54596 -> 54592 -> 4212 -> 4211 -> 4210 -> nan
6608,5,6608 -> 4212 -> 4211 -> 4210 -> nan
48391,6,48391 -> 48390 -> 4212 -> 4211 -> 4210 -> nan
4499,5,4499 -> 4212 -> 4211 -> 4210 -> nan
4661,12,4661 -> 4660 -> 4658 -> 4657 -> 4656 -> 4655 -> 4653 -> 4652 -> 4212 -> 4211 -> 4210 -> nan
4662,5,4662 -> 4212 -> 4211 -> 4210 -> nan
4666,5,4666 -> 4212 -> 4211 -> 4210 -> nan
6609,8,6609 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
29121,8,29121 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
12441,8,12441 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
48464,8,48464 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
48466,8,48466 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
12443,1,12443
11058,4,11058 -> 11056 -> 11055 -> nan
11059,3,11059 -> 11057 -> nan
54637,2,54637 -> nan
56730,11,56730 -> 4220 -> 4218 -> 4217 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
17451,11,17451 -> 4220 -> 4218 -> 4217 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
6275,11,6275 -> 4220 -> 4218 -> 4217 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
4223,11,4223 -> 4220 -> 4218 -> 4217 -> 4216 -> 4215 -> 4214 -> 4212 -> 4211 -> 4210 -> nan
4801,3,4801 -> 4426 -> nan
4311,11,4311 -> 4310 -> 4309 -> 4308 -> 4307 -> 4306 -> 4305 -> 4304 -> 4303 -> 4302 -> nan
4313,1,4313
4319,2,4319 -> nan
4318,2,4318 -> nan
4317,2,4317 -> nan
