id,derivation_chain,status_chain
22,['22'],['SAT']
11,['11'],['SAT']
13521,['13521'],['SAT']
14531,['14531'],['SAT']
26,['26'],['SAT']
9791,['9791'],['SAT']
9635,['9635'],['SAT']
15421,"['15420', '15421']","['SAT', 'SAT']"
9634,"['9633', '9634']","['SAT', 'SAT']"
9603,['9603'],['SAT']
9218,['9218'],['SAT']
8,['8'],['SAT']
5,"['nan', '5']","['NO_CHECK', 'SAT']"
12440,['12440'],['SAT']
12439,['12439'],['SAT']
10931,['10931'],['SAT']
13497,"['13496', '13497']","['SAT', 'SAT']"
13203,['13203'],['SAT']
13576,['13576'],['SAT']
14008,['14008'],['SAT']
14253,['14253'],['SAT']
13163,"['13154', '13155', '13158', '13159', '13163']","['SAT', 'SAT', 'SAT', 'SAT', 'SAT']"
13162,"['13154', '13155', '13158', '13159', '13162']","['SAT', 'SAT', 'SAT', 'SAT', 'SAT']"
35,"['34', '35']","['ERROR', 'SAT']"
15419,['15419'],['SAT']
49,"['43', '44', '45', '46', '47', '48', '49']","['ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'SAT', 'SAT']"
390,"['nan', '386', '387', '388', '389', '390']","['NO_CHECK', 'ERROR', 'ERROR', 'ERROR', 'ERROR', 'ERROR']"
422,"['417', '418', '419', '420', '421', '422']","['ERROR', 'ERROR', 'SAT', 'NO_CHECK', 'SAT', 'UNSAT']"
655,"['652', '653', '654', '655']","['SAT', 'UNSAT', 'SAT', 'SAT']"
3731,"['nan', '3722', '3729', '3730', '3731']","['NO_CHECK', 'SAT', 'SAT', 'SAT', 'SAT']"
39694,"['nan', '4210', '39694']","['NO_CHECK', 'UNSAT', 'UNSAT']"
39679,"['nan', '4210', '39679']","['NO_CHECK', 'UNSAT', 'UNSAT']"
29129,"['nan', '4210', '29128', '29129']","['NO_CHECK', 'UNSAT', 'UNSAT', 'UNSAT']"
4586,"['nan', '4210', '4586']","['NO_CHECK', 'UNSAT', 'UNSAT']"
6607,"['nan', '4210', '6607']","['NO_CHECK', 'UNSAT', 'UNSAT']"
4497,"['nan', '4210', '4497']","['NO_CHECK', 'UNSAT', 'UNSAT']"
4336,"['nan', '4210', '4336']","['NO_CHECK', 'UNSAT', 'UNSAT']"
54403,"['nan', '4210', '54403']","['NO_CHECK', 'UNSAT', 'UNSAT']"
54597,"['nan', '4210', '4211', '54597']","['NO_CHECK', 'UNSAT', 'SAT', 'SAT']"
27796,"['nan', '4210', '4211', '27796']","['NO_CHECK', 'UNSAT', 'SAT', 'SAT']"
